,Company,y_pred,y_true,Diff,current_volume,current_dividends,current_stock_splits,Diff_perc
180,AIKI,0.6268749811701446,0.8,-0.17312501882985543,7270600.0,0.0,0.0,-0.21640627353731928
181,AIM,-4.529393259905268,2.69,-7.219393259905267,4588300.0,0.0,0.0,-2.6837893159499133
182,AIMC,33.50705954545407,37.17,-3.6629404545459323,381000.0,0.0,0.0,-0.09854561352020264
183,AIMT,31.583900479790252,18.69,12.89390047979025,1573100.0,0.0,0.0,0.68988231566561
184,AIN,86.06073270462561,70.98,15.080732704625603,222000.0,0.0,0.0,0.212464535145472
185,AINC,1.3000281457181515,14.33,-13.029971854281849,83000.0,0.0,0.0,-0.9092792640810781
186,AINV,17.692118965957235,11.89,5.802118965957234,828300.0,0.0,0.0,0.4879830921747043
187,AIO,20.192902702702703,19.4,0.7929027027027047,178300.0,0.0,0.0,0.040871273335190965
188,AIQ,19.24115299495643,20.36,-1.1188470050435697,19000.0,0.0,0.0,-0.054953192782100674
189,AIR,49.4691008459599,28.98,20.4891008459599,877900.0,0.0,0.0,0.7070083107646619
190,AIRG,9.370939027140818,9.65,-0.27906097285918285,78600.0,0.0,0.0,-0.028918235529449
191,AIRI,1.8667217809526129,1.23,0.6367217809526129,124900.0,0.0,0.0,0.5176599845143194
192,AIRR,30.60434344129585,26.29,4.314343441295851,14700.0,0.0,0.0,0.1641058745262781
193,AIRT,19.72607226397253,13.89,5.836072263972529,4500.0,0.0,0.0,0.4201635899188286
194,AIRTP,14.106906064751485,22.2,-8.093093935248515,0.0,0.0,0.0,-0.3645537808670502
195,,,,,,,,
196,AIT,65.0815281070681,68.13,-3.0484718929319,240100.0,0.0,0.0,-0.04474492724103773
197,AIV,55.50873014419121,43.82,11.688730144191211,1428700.0,0.0,0.0,0.26674418402992267
198,AIW,24.510645625500995,23.7,0.810645625500996,1000.0,0.0,0.0,0.03420445677219392
199,AIZ,151.27801195716512,117.41,33.86801195716512,491100.0,0.0,0.0,0.288459347220553
200,AIZP,141.94276057291046,115.47,26.47276057291046,33000.0,0.0,0.0,0.229260938537373
201,AJG,105.55321276278073,101.9,3.6532127627807256,1349400.0,0.0,0.0,0.03585095939922203
202,AJRD,56.953351712409635,46.02,10.933351712409632,820100.0,0.0,0.0,0.2375782640680059
203,AJX,16.076067101806387,10.71,5.366067101806387,213000.0,0.0,0.0,0.501033342839065
204,AJXA,28.43609046656452,24.88,3.5560904665645197,6900.0,0.0,0.0,0.14292968113201446
205,AKAM,104.52128022779183,103.38,1.1412802277918388,1686300.0,0.0,0.0,0.011039661712051063
206,AKBA,5.098938854539159,11.82,-6.721061145460841,843000.0,0.0,0.0,-0.5686176942014248
207,AKCA,11.758987077112703,16.65,-4.891012922887295,217300.0,0.0,0.0,-0.2937545299031409
208,AKER,-7.380314279028056,3.69,-11.070314279028056,971900.0,0.0,0.0,-3.000085170468308
209,AKR,25.96589548493124,16.73,9.235895484931241,1049500.0,0.0,0.0,0.552055916612746
210,AKRO,22.21575331702422,25.64,-3.424246682975781,129900.0,0.0,0.0,-0.13355096267456243
211,AKTS,8.518334303997051,8.29,0.2283343039970518,723400.0,0.0,0.0,0.0275433418573042
212,AKTX,1.4347103807719632,2.61,-1.1752896192280367,1778900.0,0.0,0.0,-0.45030253610269605
213,AL,49.891923068370374,36.92,12.971923068370373,2255100.0,0.0,0.0,0.35135219578467963
214,ALAC,10.596490203532298,10.85,-0.2535097964677018,500.0,0.0,0.0,-0.023364958199788184
215,,,,,,,,
216,ALACU,10.83153624475974,10.8,0.03153624475973871,0.0,0.0,0.0,0.002920022662938769
217,,,,,,,,
218,ALB,65.24823533335945,86.74,-21.49176466664055,1304100.0,0.0,0.0,-0.24777224656030147
219,ALBO,18.893971304709694,26.98,-8.086028695290306,71500.0,0.0,0.0,-0.2997045476386325
220,ALC,58.6043779972771,62.95,-4.345622002722905,1530500.0,0.0,0.0,-0.06903291505516926
221,ALCO,37.91240774547291,32.48,5.432407745472915,14300.0,0.0,0.0,0.1672539330502745
222,ALDX,3.7350630975538204,4.92,-1.1849369024461796,1354400.0,0.0,0.0,-0.2408408338305243
